indice_tiempo,salon_ventas,canales_on_line,porcentaje_online,mes_numero
2017-01-01,27591730.12689,267141.956,0.9589115998851575,1
2017-02-01,25749179.39807,245020.769,0.9425978388455954,2
2017-03-01,27472228.718250018,307777.804,1.1079112013652321,3
2017-04-01,28827479.48661001,306792.733,1.0530303646764878,4
2017-05-01,27569311.41494,399693.262,1.4290578682248953,5
2017-06-01,28763865.4186,368847.326,1.2660933062897446,6
2017-07-01,30815311.77359001,366990.683,1.1769197720755253,7
2017-08-01,30763355.89174,391525.052,1.2567053384252131,8
2017-09-01,30135595.69727,385910.498,1.2643887740369957,9
2017-10-01,31980223.91264,465759.10129,1.4354908004791722,10
2017-11-01,33122387.951610014,506594.70549,1.5064229288632487,11
2017-12-01,40320285.2796,446036.8247,1.094130649212901,12
2018-01-01,32103107.855989996,376100.1495799999,1.1579720463488548,13
2018-02-01,31357444.8335,379379.71864,1.1953928094372586,14
2018-03-01,36055413.05464001,475878.27403,1.3026593277214031,15
2018-04-01,33622270.978180006,491474.68862,1.4406940047580594,16
2018-05-01,34407391.593590006,725754.7976899999,2.065726734540722,17
2018-06-01,37744796.10936996,593413.63629,1.5478386712023684,18
2018-07-01,38696650.90644997,581799.0561899999,1.4812169440071667,19
2018-08-01,38852702.48435998,639204.78984,1.6185715858235892,20
2018-09-01,39313002.17497999,612546.82257,1.5342226668131438,21
2018-10-01,42646486.70567999,773767.1168,1.7820419013750608,22
2018-11-01,44076960.79194998,772485.21409,1.722396334585644,23
2018-12-01,56452356.42238999,751599.44123,1.3138941702246765,24
2019-01-01,44740575.24163,693048.47043,1.5254087475440257,25
2019-02-01,43914187.05556002,677957.8397799999,1.5203526122620936,26
2019-03-01,50347782.683160014,717911.5714899999,1.4058588294324956,27
2019-04-01,48939565.17114004,681844.1039799999,1.3740925820941439,28
2019-05-01,49813853.04009,964446.87431,1.8993287997743629,29
2019-06-01,53591716.25316001,821703.3616599999,1.5101116001836454,30
2019-07-01,54121341.62436,923140.63296,1.6770811443816198,31
2019-08-01,58647926.47731001,1024177.97836,1.7163429842177842,32
2019-09-01,56887830.18007998,997476.22679,1.7231941725916422,33
2019-10-01,65144928.115430005,1180651.47825,1.780084675449261,34
2019-11-01,66454203.74208,1489506.4453500002,2.1922653932807568,35
2019-12-01,82246180.67768,1278463.61382,1.5306423926310628,36
2020-01-01,69104127.61199,1040882.66074,1.4839012164841892,37
2020-02-01,71514175.14700998,980258.51473,1.3521845267512533,38
2020-03-01,84174875.51342997,1603155.57539,1.8689582344574824,39
2020-04-01,71798954.70953001,3210641.9290200006,4.280308217748689,40
2020-05-01,74966605.02587001,3627916.794580001,4.615991942629302,41
2020-06-01,74554853.95878996,3678005.64307,4.70135651667085,42
2020-07-01,76413721.76438998,4726974.45707,5.825651833413547,43
2020-08-01,76406528.27118002,4005445.0164,4.981154985558176,44
2020-09-01,73111415.16161998,3944359.19539,5.1188366197129405,45
2020-10-01,84622602.74864998,4601678.305080001,5.15742828155591,46
2020-11-01,86255330.60578996,4838176.70645,5.3112201398352665,47
2020-12-01,111830218.56443,3975909.55075,3.4332462499701113,48
2021-01-01,94524545.26598,3483037.9868500005,3.5538453977227586,49
2021-02-01,89908053.01556998,3046180.66555,3.277075766123725,50
2021-03-01,103243215.2959,3982669.19388,3.7142796376369356,51
2021-04-01,102742178.64234994,4128007.24374,3.862636908052103,52
2021-05-01,104997658.23470998,5607036.33009,5.069437922280058,53
2021-06-01,111477594.54618998,4810298.409969999,4.1365427540969035,54
2021-07-01,120904098.31748004,4754454.214929999,3.7836296209951352,55
2021-08-01,120181530.94271998,4658789.019680001,3.7317983653703846,56
2021-09-01,118585472.17123003,4416780.258529999,3.5908125024394852,57
2021-10-01,136000643.3463,4486843.91995,3.1937676495320844,58
2021-11-01,135950778.84937298,5751181.80928,4.058646600616958,59
2021-12-01,178866721.2456501,5116430.63427,2.780923460648902,60
